,hospital_id,name,address,status,ownership_information,city_id
0,0001336420,ANDALUSIA HEALTH,"849 SOUTH THREE NOTCH STREET, PO BOX 760",OPEN,PROPRIETARY,1840004591
1,0001535611,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,OPEN,PROPRIETARY,1840000935
2,0000136502,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DR,OPEN,NON-PROFIT,1840013888
3,0000236124,BAPTIST MEDICAL CENTER EAST,"400 TAYLOR ROAD, PO BOX 241267",OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840008353
4,0001736111,BAPTIST MEDICAL CENTER SOUTH,"2105 EAST SOUTH BOULEVARD, PO BOX 11010",OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840008353
5,0000436693,BAYPOINTE BEHAVIORAL HEALTH,5800 SOUTHLAND DRIVE,OPEN,NON-PROFIT,1840006009
6,0001836049,BEACONS CHILDREN'S HOSPITAL,150 HOSPITAL DRIVE,OPEN,PROPRIETARY,1840004042
7,0002035042,BIBB MEDICAL CENTER,208 PIERSON AVENUE,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840007089
8,0196784204,BROOKWOOD BAPTIST MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,OPEN,PROPRIETARY,1840014794
9,0002135401,BRYCE HOSPITAL,200 UNIVERSITY BOULEVARD,OPEN,GOVERNMENT - STATE,1840005563
10,0008236089,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,OPEN,PROPRIETARY,1840004415
11,0001636083,CENTRAL ALABAMA VETERANS HEALTH CARE SYSTEM EAST CAMPUS,2400 HOSPITAL ROAD,OPEN,NOT AVAILABLE,1840004337
12,0000735233,CHILDREN'S HOSPITAL OF ALABAMA,1600 SEVENTH AVENUE SOUTH,OPEN,NON-PROFIT,1840006507
13,0002836904,CHOCTAW GENERAL HOSPITAL,401 VANITY FAIR DRIVE,OPEN,NON-PROFIT,1840015823
14,0003035161,CITIZENS BAPTIST MEDICAL CENTER,"604 STONE AVENUE, PO BOX 978",OPEN,PROPRIETARY,1840008244
15,0003236251,CLAY COUNTY HOSPITAL,"83825 HIGHWAY 9, PO BOX 1270",OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840006738
16,0003336078,"COMMUNITY HOSPITAL, INC",805 FRIENDSHIP ROAD,OPEN,NON-PROFIT,1840015790
17,0003435150,COOSA VALLEY MEDICAL CENTER,315 WEST HICKORY STREET,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840015700
18,0003536049,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840004042
19,0008435801,CRESTWOOD MEDICAL CENTER,1 HOSPITAL DRIVE,OPEN,PROPRIETARY,1840005061
20,0091036116,CROSSBRIDGE BEHAVIORAL HEALTH A BAPTIST SOUTH FACILITY,4385 NARROW LANE ROAD,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840008353
21,0003735055,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,OPEN,NON-PROFIT,1840001354
22,0003836427,D. W. MCMILLAN MEMORIAL HOSPITAL,"1301 BELLEVILLE AVENUE, PO DRAWER 908",OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840006146
23,0000836360,DALE MEDICAL CENTER,126 HOSPITAL AVENUE,OPEN,GOVERNMENT - LOCAL,1840005283
24,0000935401,DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840005563
25,0003935601,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 SEVENTH STREET SOUTHEAST,OPEN,PROPRIETARY,1840001403
26,0001035601,DECATUR MORGAN HOSPITAL - PARKWAY CAMPUS,1874 BELTLINE ROAD SW,OPEN,PROPRIETARY,1840001403
27,0001135601,DECATUR MORGAN WEST,"2205 BELTLINE ROAD SW, PO BOX 2240",OPEN,PROPRIETARY,1840001403
28,0004135968,DEKALB REGIONAL MEDICAL CENTER,"200 MEDICAL CENTER DRIVE, PO BOX 680778",OPEN,PROPRIETARY,1840004822
29,0005036854,EAMC - LANIER,4800 48TH STREET,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840015760
30,0001236801,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840005210
31,0004336526,EASTPOINTE HOSPITAL,7400 ROPER LANE,OPEN,PROPRIETARY,1840006178
32,0004536092,ELMORE COMMUNITY HOSPITAL,"500 HOSPITAL DRIVE, PO BOX 130",OPEN,PROPRIETARY,1840006013
33,0005835209,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,OPEN,PROPRIETARY,1840006507
34,0002236301,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,OPEN,PROPRIETARY,1840001518
35,0005935903,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF GADSDEN,801 GOODYEAR AVENUE,OPEN,PROPRIETARY,1840006332
36,0002336116,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE ROAD,OPEN,PROPRIETARY,1840008353
37,0090235801,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF NORTH ALABAMA,107 GOVERNORS DRIVE SW,OPEN,PROPRIETARY,1840005061
38,0196784285,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY COUNTY,900 OAK MOUNTAIN COMMONS LANE,OPEN,PROPRIETARY,1840014826
39,0004636401,EVERGREEN MEDICAL CENTER,"101 CRESTVIEW AVENUE, PO BOX 706",OPEN,PROPRIETARY,1840001842
40,0004835555,FAYETTE MEDICAL CENTER,"1653 TEMPLE AVENUE NORTH, PO DRAWER 710",OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840006295
41,0001636302,FLOWERS HOSPITAL,"4370 WEST MAIN STREET, PO BOX 6907",OPEN,PROPRIETARY,1840001518
42,0002735960,FLOYD CHEROKEE MEDICAL CENTER,400 NORTHWOOD DRIVE,OPEN,PROPRIETARY,1840001099
43,0004935903,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,OPEN,PROPRIETARY,1840006332
44,0013535243,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,OPEN,PROPRIETARY,1840006507
45,0005235462,GREENE COUNTY HEALTH SYSTEM,509 WILSON AVENUE,OPEN,GOVERNMENT - LOCAL,1840001838
46,0005536451,GROVE HILL MEMORIAL HOSPITAL,"295 JACKSON HIGHWAY S, PO BOX 935",OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840005924
47,0005736744,HALE COUNTY HOSPITAL,508 GREENE STREET,OPEN,GOVERNMENT - LOCAL,1840006442
48,0006035660,HELEN KELLER MEMORIAL HOSPITAL,"1300 SMONTGOMERY AVENUE, PO BOX 610",OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840015537
49,0006135768,HIGHLANDS MEDICAL CENTER,"380 WOODS COVE ROAD, PO BOX 1050",OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840005605
50,0002935212,HILL CREST BEHAVIORAL HEALTH SERVICES,"6869 FIFTH AVENUE, SOUTH",OPEN,PROPRIETARY,1840006507
51,0006236925,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840015778
52,0006335801,THE HUNTSVILLE HOSPITAL,101 SIVLEY ROAD,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840005061
53,0003136607,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,OPEN,PROPRIETARY,1840006009
54,0006436726,J. PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,OPEN,GOVERNMENT - LOCAL,1840001060
55,0006536867,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,OPEN,PROPRIETARY,1840006012
56,0006636106,"JACKSON HOSPITAL AND CLINIC, INC",1725 PINE STREET,OPEN,NON-PROFIT,1840008353
57,0006736545,JACKSON MEDICAL CENTER,"220 HOSPITAL DRIVE, PO BOX 428",OPEN,PROPRIETARY,1840014935
58,0006936853,LAKE MARTIN COMMUNITY HOSPITAL,"201 MARIARDEN ROAD, PO BOX 629",OPEN,PROPRIETARY,1840001397
59,0007035565,LAKELAND COMMUNITY HOSPITAL,"42024 HIGHWAY 195, PO BOX 780",OPEN,NON-PROFIT,1840013644
60,0004236301,LAUREL OAKS BEHAVIORAL HEALTH CENTER,700 EAST COTTONWOOD ROAD,OPEN,PROPRIETARY,1840001518
61,0008835650,LAWRENCE MEDICAL CENTER,"202 HOSPITAL STREET, PO BOX 39",OPEN,PROPRIETARY,1840008190
62,0007135758,MADISON HOSPITAL,8375 HIGHWAY 72 WEST,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840015524
63,0007335976,MARSHALL MEDICAL CENTERS NORTH CAMPUS,8000 ALABAMA HIGHWAY 69,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840006456
64,0009135957,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,"2505 US HIGHWAY 431 SOUTH, PO DRAWER 758",OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840013602
65,0091235402,MARY S. HARPER GERIATRIC PSYCHIATRY CENTER,"201 UNIVERSITY BOULEVARD, PO BOX 21231",OPEN,GOVERNMENT - STATE,1840005563
66,0005136027,MEDICAL CENTER BARBOUR,820 WEST WASHINGTON STREET,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840001685
67,0005336330,MEDICAL CENTER ENTERPRISE,400 NORTH EDWARDS STREET,OPEN,PROPRIETARY,1840001548
68,0005435021,"MEDICAL WEST HOSPITAL AUTHORITY, AN AFFILIATE OF UAB HEALTH SYSTEM",995 NINTH AVENUE SOUTHWEST,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840013732
69,0005636467,MIZELL MEMORIAL HOSPITAL,"702 MAIN STREET, PO BOX 1010",OPEN,NON-PROFIT,1840014960
70,0013636652,MOBILE INFIRMARY MEDICAL CENTER,"5 MOBILE INFIRMARY CIRCLE, PO BOX 2144",OPEN,NON-PROFIT,1840006009
71,0007836461,MONROE COUNTY HOSPITAL,"2016 SOUTH ALABAMA AVENUE, PO BOX 886",OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840005191
72,0008035904,MOUNTAIN VIEW HOSPITAL,3001 SCENIC HIGHWAY,OPEN,PROPRIETARY,1840006332
73,0008136202,"NOLAND HOSPITAL ANNISTON II, LLC","400 EAST 10TH STREET, 4TH FLOOR, PO BOX 1578",OPEN,PROPRIETARY,1840006563
74,0091336302,"NOLAND HOSPITAL DOTHAN II, LLC","1108 ROSS CLARK CIRCLE, 4TH FLOOR, PO BOX 6845",OPEN,PROPRIETARY,1840001518
75,0091436106,"NOLAND HOSPITAL MONTGOMERY II, LLC","1725 PINE STREET, 5TH FLOOR, NORTH WING, PO BOX 11649",OPEN,PROPRIETARY,1840008353
76,0090535401,"NOLAND HOSPITAL TUSCALOOSA II, LLC","809 UNIVERSITY BLVD EAST, 4TH FLOOR",OPEN,PROPRIETARY,1840005563
77,0196784188,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,OPEN,PROPRIETARY,1840002083
78,0013735611,NORTH ALABAMA SPECIALTY HOSPITAL,"700 WEST MARKET ST, 2ND FLOOR",OPEN,PROPRIETARY,1840000935
79,0009436507,NORTH BALDWIN INFIRMARY,"1815 HAND AVENUE, PO BOX 1409",OPEN,NON-PROFIT,1840000959
80,0004735570,NORTH MISSISSIPPI MEDICAL CENTER - HAMILTON,1256 MILITARY STREET SOUTH,OPEN,NON-PROFIT,1840003629
81,0091636202,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,"400 EAST 10TH STREET, PO BOX 2208",OPEN,PROPRIETARY,1840006563
82,0007435476,NORTHPORT MEDICAL CENTER,2700 HOSPITAL DRIVE,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840014819
83,0010035594,NORTHWEST MEDICAL CENTER,1530 U S HWY 43,OPEN,GOVERNMENT - LOCAL,1840015587
84,0007636067,PRATTVILLE BAPTIST HOSPITAL,124 SOUTH MEMORIAL DRIVE,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840004086
85,0000335211,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SW,OPEN,PROPRIETARY,1840006507
86,0010136685,PROVIDENCE HOSPITAL,"6801 AIRPORT BOULEVARD, PO BOX 850429",OPEN,NON-PROFIT,1840006009
87,0010235582,RED BAY HOSPITAL,"211 HOSPITAL ROAD, PO BOX 490",OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840014682
88,0004036037,REGIONAL MEDICAL CENTER OF CENTRAL ALABAMA,29 LV STABLER DRIVE,OPEN,PROPRIETARY,1840003498
89,0008336867,REGIONAL REHABILITATION HOSPITAL,3715 US HIGHWAY 431 NORTH,OPEN,PROPRIETARY,1840006012
90,0010335999,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,OPEN,PROPRIETARY,1840006332
91,0010435010,RUSSELL MEDICAL CENTER,"3316 HIGHWAY 280, PO BOX 939",OPEN,NON-PROFIT,1840013788
92,0010535653,RUSSELLVILLE HOSPITAL,"15155 HIGHWAY 43, PO BOX 1089",OPEN,NON-PROFIT,1840004247
93,0000535259,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",OPEN,PROPRIETARY,1840006507
94,0010735007,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,OPEN,PROPRIETARY,1840013756
95,0010935661,SHOALS HOSPITAL,"201 W AVALON AVENUE, PO BOX 3359",OPEN,PROPRIETARY,1840014657
96,0008636535,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,OPEN,PROPRIETARY,1840002084
97,0011036301,SOUTHEAST HEALTH MEDICAL CENTER,"1108 ROSS CLARK CIRCLE, PO BOX 6987",OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840001518
98,0011136608,SPRINGHILL MEMORIAL HOSPITAL,3719 DAUPHIN STREET,OPEN,PROPRIETARY,1840006009
99,0008935205,ST. VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,OPEN,NON-PROFIT,1840006507
100,0011235121,ST. VINCENT'S BLOUNT,"150 GILBREATH DRIVE, PO BOX 1000",OPEN,NON-PROFIT,1840005206
