local_law_id,name,address,type_of_law_enforcement
1004101,HIRAM POLICE DEPARTMENT,217 MAIN STREET,LOCAL POLICE DEPARTMENT
1004058,GLENNVILLE POLICE DEPARTMENT,201 SOUTH CHURCH STREET,LOCAL POLICE DEPARTMENT
1008255,SIMMESPORT POLICE DEPARTMENT,372 MISSION DRIVE,LOCAL POLICE DEPARTMENT
1007969,DUBBERLY POLICE DEPARTMENT,1748 BRUSHWOOD DRIVE,LOCAL POLICE DEPARTMENT
1009889,SEBEWAING POLICE DEPARTMENT,125 WEST MAIN STREET,LOCAL POLICE DEPARTMENT
1009662,MICHIGAN SENATE POLICE DEPARTMENT,125 WEST ALLEGAN STREET,SPECIAL JURISDICTION
1009508,FOWLERVILLE POLICE DEPARTMENT,213 SOUTH GRAND AVENUE,LOCAL POLICE DEPARTMENT
1009603,IONIA DEPARTMENT OF PUBLIC SAFETY,239 EAST ADAMS STREET,LOCAL POLICE DEPARTMENT
1007743,OLIVE HILL POLICE DEPARTMENT,225 ROGER PATTON DRIVE,LOCAL POLICE DEPARTMENT
1009351,BRIDGEPORT TOWNSHIP POLICE DEPARTMENT,6206 DIXIE HIGHWAY,LOCAL POLICE DEPARTMENT
1009371,CALUMET POLICE DEPARTMENT,340 6TH STREET,LOCAL POLICE DEPARTMENT
1007829,VANCEBURG POLICE DEPARTMENT,189 SECOND STREET,LOCAL POLICE DEPARTMENT
1009469,TAWAS POLICE AUTHORITY,810 WEST WESTOVER STREET,LOCAL POLICE DEPARTMENT
1007690,CRITTENDEN COUNTY SHERIFFS OFFICE,107 SOUTH MAIN STREET,SHERIFF'S OFFICE
1009540,GRAND RAPIDS POLICE DEPARTMENT - TRAINING UNIT,1 MONROE CENTER STREET NORTHWEST,LOCAL POLICE DEPARTMENT
1009594,HOWELL POLICE DEPARTMENT,611 EAST GRAND RIVER AVENUE,LOCAL POLICE DEPARTMENT
1006834,UTICA POLICE DEPARTMENT,107 NORTH FOURTH STREET,LOCAL POLICE DEPARTMENT
1009897,SOUTH ROCKWOOD POLICE DEPARTMENT,5676 CARLETON ROCKWOOD ROAD,LOCAL POLICE DEPARTMENT
1007603,KENTON COUNTY POLICE DEPARTMENT,11777 MADISON PIKE,LOCAL POLICE DEPARTMENT
1009022,NEW CARROLLTON CITY POLICE DEPARTMENT,6016 PRINCESS GARDEN PARKWAY,LOCAL POLICE DEPARTMENT
1007486,PARK HILLS POLICE DEPARTMENT,1106 AMSTERDAM ROAD,LOCAL POLICE DEPARTMENT
1008903,BOWIE POLICE DEPARTMENT,2614 KENHILL DRIVE,LOCAL POLICE DEPARTMENT
1009835,RICHMOND POLICE DEPARTMENT,36725 DIVISION ROAD,LOCAL POLICE DEPARTMENT
1007749,OWINGSVILLE POLICE DEPARTMENT,19 GOODPASTER AVENUE,LOCAL POLICE DEPARTMENT
1007554,GREENSBURG POLICE DEPARTMENT,105 WEST HODGENVILLE AVENUE,LOCAL POLICE DEPARTMENT
1007542,CITY OF FULTON POLICE DEPARTMENT,340 BROWDER STREET,LOCAL POLICE DEPARTMENT
1006570,KOKOMO POLICE DEPARTMENT,100 SOUTH UNION STREET,LOCAL POLICE DEPARTMENT
1006269,MADISON COUNTY SHERIFFS DEPARTMENT / MADISON COUNTY JAIL,720 CENTRAL AVENUE,SHERIFF'S OFFICE
1009138,BREWER POLICE DEPARTMENT,151 PARKWAY SOUTH,LOCAL POLICE DEPARTMENT
1009669,LATHRUP VILLAGE POLICE DEPARTMENT,27400 SOUTHFIELD ROAD,LOCAL POLICE DEPARTMENT
1006265,ANDERSON POLICE DEPARTMENT,1040 MAIN STREET,LOCAL POLICE DEPARTMENT
1007076,JACKSON COUNTY SHERIFFS OFFICE,210 UNITED STATES HIGHWAY 75,SHERIFF'S OFFICE
1009971,WIXOM POLICE DEPARTMENT,49045 PONTIAC TRAIL,LOCAL POLICE DEPARTMENT
1009896,SOUTH LYON POLICE DEPARTMENT,219 WHIPPLE STREET,LOCAL POLICE DEPARTMENT
1009147,CARIBOU POLICE DEPARTMENT,25 HIGH STREET,LOCAL POLICE DEPARTMENT
1007718,MOUNT VERNON POLICE DEPARTMENT,124 RICHMOND STREET,LOCAL POLICE DEPARTMENT
1009379,CARSON CITY POLICE DEPARTMENT,123 EAST MAIN STREET,LOCAL POLICE DEPARTMENT
1009550,GREENVILLE DEPARTMENT OF PUBLIC SAFETY,415 SOUTH LAFAYETTE STREET,LOCAL POLICE DEPARTMENT
1009263,WESTBROOK POLICE DEPARTMENT,570 MAIN STREET,LOCAL POLICE DEPARTMENT
1007510,ELKTON POLICE DEPARTMENT,73 PUBLIC SQUARE,LOCAL POLICE DEPARTMENT
1009645,LAKE LINDEN POLICE DEPARTMENT,401 CALUMET STREET,LOCAL POLICE DEPARTMENT
1007507,HARDIN COUNTY SHERIFFS DEPARTMENT,100 PUBLIC SQUARE,SHERIFF'S OFFICE
1002375,WATSONVILLE POLICE DEPARTMENT,215 UNION STREET,LOCAL POLICE DEPARTMENT
1001840,MANTECA POLICE DEPARTMENT,1001 WEST CENTER STREET,LOCAL POLICE DEPARTMENT
1001644,FORT BRAGG POLICE DEPARTMENT,250 CYPRESS STREET,LOCAL POLICE DEPARTMENT
1004984,BREMER COUNTY SHERIFFS OFFICE / BREMER COUNTY JAIL,111 4TH STREET NORTHEAST,SHERIFF'S OFFICE
1004639,CHARLES CITY POLICE DEPARTMENT,105 MILWAUKEE MALL,LOCAL POLICE DEPARTMENT
1004957,SUTHERLAND POLICE DEPARTMENT,409 ASH STREET,LOCAL POLICE DEPARTMENT
1004898,POMEROY POLICE DEPARTMENT,114 SOUTH ONTARIO STREET,LOCAL POLICE DEPARTMENT
1004673,SCOTT COUNTY SHERIFFS OFFICE / SCOTT COUNTY JAIL,400 WEST 4TH STREET,SHERIFF'S OFFICE
1004886,OTTUMWA POLICE DEPARTMENT,330 WEST 2ND STREET,LOCAL POLICE DEPARTMENT
1004888,PANORA POLICE DEPARTMENT,501 EAST MARKET STREET,LOCAL POLICE DEPARTMENT
1004882,OSCEOLA POLICE DEPARTMENT,220 TOWN LINE ROAD,LOCAL POLICE DEPARTMENT
1004901,PRESTON POLICE DEPARTMENT,1 WEST GILLET,LOCAL POLICE DEPARTMENT
1004698,DUBUQUE POLICE DEPARTMENT,770 IOWA STREET,LOCAL POLICE DEPARTMENT
1004605,BELLEVUE POLICE DEPARTMENT,106 NORTH 3RD STREET,LOCAL POLICE DEPARTMENT
1004848,MOUNT PLEASANT POLICE DEPARTMENT,300 WEST MONROE STREET,LOCAL POLICE DEPARTMENT
1004634,LINN COUNTY SHERIFFS DEPARTMENT,310 2ND AVENUE SOUTHWEST,SHERIFF'S OFFICE
1004959,TAMA POLICE DEPARTMENT,305 SIEGEL STREET,LOCAL POLICE DEPARTMENT
1004602,BEDFORD CITY POLICE DEPARTMENT,621 COURT AVENUE,LOCAL POLICE DEPARTMENT
1004674,DAYTON POLICE DEPARTMENT,202 1ST AVENUE SOUTHWEST,LOCAL POLICE DEPARTMENT
1004654,CLIVE POLICE DEPARTMENT,8505 HARBACH BOULEVARD,LOCAL POLICE DEPARTMENT
1004656,COLUMBUS JUNCTION POLICE DEPARTMENT,232 2ND STREET,LOCAL POLICE DEPARTMENT
1004852,MUSCATINE POLICE DEPARTMENT,312 EAST 5TH STREET,LOCAL POLICE DEPARTMENT
1004606,BELMOND POLICE DEPARTMENT,112 2ND AVENUE NORTHEAST,LOCAL POLICE DEPARTMENT
1004801,LE CLAIRE POLICE DEPARTMENT,306 SOUTH CODY ROAD,LOCAL POLICE DEPARTMENT
1004817,MANLY POLICE DEPARTMENT,132 EAST SOUTH STREET,LOCAL POLICE DEPARTMENT
1004663,COUNCIL BLUFFS POLICE DEPARTMENT,227 SOUTH 6TH STREET,LOCAL POLICE DEPARTMENT
1003584,SUNNY ISLES BEACH POLICE DEPARTMENT,18070 COLLINS AVENUE,LOCAL POLICE DEPARTMENT
1002588,GILCREST POLICE DEPARTMENT,304 8TH STREET,LOCAL POLICE DEPARTMENT
1008137,ASSUMPTION PARISH SHERIFFS DEPARTMENT,112 FRANKLIN AVENUE,SHERIFF'S OFFICE
1007899,LOUISIANA STATE POLICE,"7919 INDEPENDENCE BLVD, <NULL>",PRIMARY STATE AGENCY
1001525,CHINO POLICE DEPARTMENT,13250 CENTRAL AVENUE,LOCAL POLICE DEPARTMENT
1001950,OCEANSIDE POLICE DEPARTMENT,3855 MISSION AVENUE,LOCAL POLICE DEPARTMENT
1002314,STALLION SPRINGS POLICE DEPARTMENT,27800 STALLION SPRINGS DRIVE,LOCAL POLICE DEPARTMENT
1001441,BAKERSFIELD POLICE DEPARTMENT,1601 TRUXTUN AVENUE,LOCAL POLICE DEPARTMENT
1001470,BERKELEY POLICE DEPARTMENT,2100 MARTIN LUTHER KING JUNIOR WAY,LOCAL POLICE DEPARTMENT
