fips_code,population_estimate_2020,population_estimate_2021,population_estimate_2022,population_estimate_2022
1001,58915.0,59203.0,59726.0,60342.0
1003,233227.0,239439.0,246531.0,253507.0
1005,24969.0,24533.0,24700.0,24585.0
1007,22188.0,22359.0,21986.0,21868.0
1009,59107.0,59079.0,59516.0,59816.0
1011,10229.0,10143.0,10143.0,9897.0
1013,19025.0,18890.0,18668.0,18382.0
1015,116243.0,115678.0,115780.0,116429.0
1017,34651.0,34488.0,34164.0,34079.0
1019,24969.0,25074.0,25353.0,25666.0
1021,45057.0,45259.0,45848.0,46431.0
1023,12626.0,12548.0,12431.0,12252.0
1025,22987.0,22740.0,22574.0,22337.0
1027,14212.0,14170.0,14183.0,14111.0
1029,15064.0,15156.0,15372.0,15639.0
1031,53549.0,54199.0,54840.0,55643.0
1033,57304.0,57644.0,57993.0,58361.0
1035,11554.0,11320.0,11224.0,11174.0
1037,10335.0,10314.0,10307.0,10268.0
1039,37506.0,37570.0,37603.0,37952.0
1041,13163.0,13069.0,13048.0,13101.0
1043,88136.0,89639.0,90663.0,92016.0
1045,49257.0,49395.0,49495.0,49871.0
1047,38171.0,37515.0,36729.0,36165.0
1049,71659.0,71912.0,72082.0,72569.0
1051,87861.0,88789.0,89600.0,90441.0
1053,36685.0,36660.0,36636.0,36558.0
1055,103453.0,103010.0,102903.0,103241.0
1057,16331.0,16127.0,16082.0,15967.0
1059,32078.0,31998.0,31910.0,31802.0
1061,26698.0,26620.0,26760.0,26988.0
1063,7700.0,7614.0,7452.0,7341.0
1065,14772.0,14726.0,14599.0,14888.0
1067,17169.0,17433.0,17670.0,17899.0
1069,107284.0,107470.0,108047.0,108462.0
1071,52545.0,52719.0,52923.0,53467.0
1073,674717.0,669990.0,665084.0,662895.0
1075,13953.0,13736.0,13706.0,13661.0
1077,94025.0,94853.0,95875.0,96814.0
1079,33089.0,33073.0,33187.0,33502.0
1081,174754.0,177596.0,180698.0,183215.0
1083,104203.0,107303.0,110868.0,114654.0
1085,10285.0,9945.0,9783.0,9717.0
1087,19464.0,18905.0,18532.0,18370.0
1089,390503.0,396671.0,403605.0,412600.0
1091,19270.0,18985.0,18791.0,18684.0
1093,29176.0,29001.0,29182.0,29244.0
1095,97702.0,98286.0,99428.0,100756.0
1097,414377.0,413383.0,411398.0,411640.0
1099,19706.0,19550.0,19412.0,19229.0
1101,228342.0,226935.0,226301.0,224980.0
1103,123288.0,123375.0,124231.0,125133.0
1105,8458.0,8328.0,7904.0,7738.0
1107,18969.0,18618.0,18749.0,18688.0
1109,32900.0,32746.0,33008.0,33137.0
1111,22086.0,22184.0,22460.0,22786.0
1113,59258.0,58681.0,58594.0,58744.0
1115,91657.0,92874.0,93881.0,95552.0
1117,223912.0,227453.0,230033.0,233000.0
1119,12191.0,11967.0,11889.0,11727.0
1121,81575.0,80734.0,80748.0,81132.0
1123,41284.0,41099.0,40913.0,40677.0
1125,231547.0,235670.0,236690.0,237373.0
1127,65138.0,64636.0,64438.0,64728.0
1129,15329.0,15223.0,15094.0,15022.0
1131,10534.0,10423.0,10139.0,9944.0
1133,23493.0,23655.0,23741.0,23611.0
2013,3427.0,3417.0,3430.0,3461.0
2016,5214.0,5147.0,5090.0,5160.0
2020,290893.0,289169.0,286983.0,286075.0
2050,18661.0,18594.0,18259.0,18224.0
2060,830.0,842.0,870.0,844.0
2063,7080.0,6971.0,6899.0,6769.0
2066,2614.0,2621.0,2609.0,2674.0
2068,1614.0,1595.0,1575.0,1584.0
2070,4838.0,4796.0,4724.0,4607.0
2090,95337.0,95593.0,95202.0,94840.0
2100,2084.0,2074.0,2070.0,2070.0
2105,2358.0,2330.0,2279.0,2262.0
2110,32209.0,31979.0,31740.0,31555.0
2122,58942.0,59946.0,60611.0,61223.0
2130,13915.0,13866.0,13772.0,13738.0
2150,13047.0,12878.0,12639.0,12565.0
2158,8371.0,8377.0,8214.0,8001.0
2164,1450.0,1419.0,1377.0,1331.0
2170,107504.0,110998.0,113472.0,115239.0
2180,10029.0,9894.0,9791.0,9763.0
