,fips_code,state_id,county_name,state_name
0,36081,NY,Queens,New York
1,6037,CA,Los Angeles,California
2,17031,IL,Cook,Illinois
3,12086,FL,Miami-Dade,Florida
4,48201,TX,Harris,Texas
5,48113,TX,Dallas,Texas
6,42101,PA,Philadelphia,Pennsylvania
7,13121,GA,Fulton,Georgia
8,11001,DC,District of Columbia,District of Columbia
9,25025,MA,Suffolk,Massachusetts
10,4013,AZ,Maricopa,Arizona
11,26163,MI,Wayne,Michigan
12,53033,WA,King,Washington
13,6075,CA,San Francisco,California
14,6073,CA,San Diego,California
15,27053,MN,Hennepin,Minnesota
16,12057,FL,Hillsborough,Florida
17,36047,NY,Kings,New York
18,8031,CO,Denver,Colorado
20,6065,CA,Riverside,California
21,32003,NV,Clark,Nevada
22,24510,MD,Baltimore,Maryland
23,29510,MO,St. Louis,Missouri
24,41051,OR,Multnomah,Oregon
25,48029,TX,Bexar,Texas
26,6067,CA,Sacramento,California
27,48453,TX,Travis,Texas
28,12095,FL,Orange,Florida
29,72127,PR,San Juan,Puerto Rico
30,6085,CA,Santa Clara,California
31,42003,PA,Allegheny,Pennsylvania
32,18097,IN,Marion,Indiana
33,36061,NY,New York,New York
34,39061,OH,Hamilton,Ohio
35,29095,MO,Jackson,Missouri
36,39035,OH,Cuyahoga,Ohio
37,39049,OH,Franklin,Ohio
38,36005,NY,Bronx,New York
39,51810,VA,Virginia Beach,Virginia
40,37119,NC,Mecklenburg,North Carolina
41,55079,WI,Milwaukee,Wisconsin
42,44007,RI,Providence,Rhode Island
43,12031,FL,Duval,Florida
44,47037,TN,Davidson,Tennessee
45,49035,UT,Salt Lake,Utah
46,37183,NC,Wake,North Carolina
47,51760,VA,Richmond,Virginia
48,47157,TN,Shelby,Tennessee
49,40109,OK,Oklahoma,Oklahoma
50,9110,CT,Capitol,Connecticut
51,21111,KY,Jefferson,Kentucky
52,36029,NY,Erie,New York
53,22071,LA,Orleans,Louisiana
54,48439,TX,Tarrant,Texas
55,9120,CT,Greater Bridgeport,Connecticut
56,4019,AZ,Pima,Arizona
57,48141,TX,El Paso,Texas
58,31055,NE,Douglas,Nebraska
59,48215,TX,Hidalgo,Texas
60,1073,AL,Jefferson,Alabama
61,35001,NM,Bernalillo,New Mexico
62,40143,OK,Tulsa,Oklahoma
63,6019,CA,Fresno,California
64,45019,SC,Charleston,South Carolina
65,36055,NY,Monroe,New York
66,39113,OH,Montgomery,Ohio
67,12071,FL,Lee,Florida
68,6059,CA,Orange,California
69,8041,CO,El Paso,Colorado
70,22033,LA,East Baton Rouge,Louisiana
71,42077,PA,Lehigh,Pennsylvania
72,49057,UT,Weber,Utah
73,49049,UT,Utah,Utah
74,47093,TN,Knox,Tennessee
75,26081,MI,Kent,Michigan
76,45079,SC,Richland,South Carolina
77,36001,NY,Albany,New York
78,6029,CA,Kern,California
79,9170,CT,South Central Connecticut,Connecticut
80,19153,IA,Polk,Iowa
81,39153,OH,Summit,Ohio
82,12009,FL,Brevard,Florida
83,6013,CA,Contra Costa,California
84,20173,KS,Sedgwick,Kansas
86,42043,PA,Dauphin,Pennsylvania
87,36085,NY,Richmond,New York
88,39095,OH,Lucas,Ohio
89,25027,MA,Worcester,Massachusetts
91,12111,FL,St. Lucie,Florida
92,5119,AR,Pulaski,Arkansas
93,32031,NV,Washoe,Nevada
94,53063,WA,Spokane,Washington
95,55025,WI,Dane,Wisconsin
96,16001,ID,Ada,Idaho
98,48121,TX,Denton,Texas
99,6001,CA,Alameda,California
100,25013,MA,Hampden,Massachusetts
101,13245,GA,Richmond,Georgia
102,12097,FL,Osceola,Florida
103,37067,NC,Forsyth,North Carolina
104,6077,CA,San Joaquin,California
105,36067,NY,Onondaga,New York
106,47065,TN,Hamilton,Tennessee
107,42071,PA,Lancaster,Pennsylvania
108,45045,SC,Greenville,South Carolina
109,37063,NC,Durham,North Carolina
110,12033,FL,Escambia,Florida
111,5143,AR,Washington,Arkansas
113,8005,CO,Arapahoe,Colorado
114,6111,CA,Ventura,California
116,42069,PA,Lackawanna,Pennsylvania
117,6071,CA,San Bernardino,California
118,34021,NJ,Mercer,New Jersey
119,6099,CA,Stanislaus,California
120,1089,AL,Madison,Alabama
121,15003,HI,Honolulu,Hawaii
122,37081,NC,Guilford,North Carolina
124,48355,TX,Nueces,Texas
125,18003,IN,Allen,Indiana
126,8069,CO,Larimer,Colorado
127,28049,MS,Hinds,Mississippi
128,45051,SC,Horry,South Carolina
129,37051,NC,Cumberland,North Carolina
131,26065,MI,Ingham,Michigan
132,21067,KY,Fayette,Kentucky
133,1097,AL,Mobile,Alabama
134,39099,OH,Mahoning,Ohio
136,13051,GA,Chatham,Georgia
137,36027,NY,Dutchess,New York
139,26161,MI,Washtenaw,Michigan
140,27123,MN,Ramsey,Minnesota
141,34013,NJ,Essex,New Jersey
143,6097,CA,Sonoma,California
144,39151,OH,Stark,Ohio
145,37021,NC,Buncombe,North Carolina
146,26049,MI,Genesee,Michigan
147,12105,FL,Polk,Florida
148,2020,AK,Anchorage,Alaska
149,31109,NE,Lancaster,Nebraska
150,37025,NC,Cabarrus,North Carolina
151,34017,NJ,Hudson,New Jersey
152,29077,MO,Greene,Missouri
